"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"10684 / 21-47","Schetsboek","Paul Delvaux","{""tag"": ""moeder"", ""score"": 0.8343}","{""tag"": ""Mommen"", ""score"": 0.8336}","{""tag"": ""abstract"", ""score"": 0.8306}","{""tag"": ""femme"", ""score"": 0.8242}","{""tag"": ""vrouw"", ""score"": 0.8217}","{""tag"": ""Mona Lisa"", ""score"": 0.8197}","{""tag"": ""Maagd met het kind"", ""score"": 0.8196}","{""tag"": ""Maagd met het Kind"", ""score"": 0.8177}","{""tag"": ""portrait"", ""score"": 0.8171}","{""tag"": ""enfant"", ""score"": 0.8165}"
"10681 / 16-30","Schetsboek","Paul Delvaux","{""tag"": ""abstract"", ""score"": 0.8385}","{""tag"": ""Gustave Courbet"", ""score"": 0.829}","{""tag"": ""straat"", ""score"": 0.829}","{""tag"": ""Camille Pissarro"", ""score"": 0.8243}","{""tag"": ""Paris"", ""score"": 0.8242}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8242}","{""tag"": ""Parijs"", ""score"": 0.824}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8238}","{""tag"": ""Vieil Heidelberg"", ""score"": 0.8237}","{""tag"": ""Pont des Arts"", ""score"": 0.8234}"
"3068","De rede van Antwerpen bij de aankomst van Maria de' Medici en van de infante Isabella op 4 september 1631","Jan Wildens","{""tag"": ""Le Havre"", ""score"": 0.8382}","{""tag"": ""Visserskaai"", ""score"": 0.8312}","{""tag"": ""marine"", ""score"": 0.829}","{""tag"": ""markt"", ""score"": 0.8279}","{""tag"": ""Portret"", ""score"": 0.8276}","{""tag"": ""Zuiderzee"", ""score"": 0.8275}","{""tag"": ""portret"", ""score"": 0.8273}","{""tag"": ""watersport"", ""score"": 0.8268}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8254}","{""tag"": ""Markt"", ""score"": 0.8245}"
"11335","Utah Circle","Richard Long","{""tag"": ""steen"", ""score"": 0.8195}","{""tag"": ""abstract"", ""score"": 0.8175}","{""tag"": ""stilte"", ""score"": 0.8124}","{""tag"": ""marmer"", ""score"": 0.8072}","{""tag"": ""beeldhouwkunst"", ""score"": 0.8049}","{""tag"": ""cirkel"", ""score"": 0.804}","{""tag"": ""arts"", ""score"": 0.8037}","{""tag"": ""stele"", ""score"": 0.8031}","{""tag"": ""atelier"", ""score"": 0.8026}","{""tag"": ""kunstgalerij"", ""score"": 0.8018}"
"11527","De bank der armen","Charles Degroux","{""tag"": ""religieuze scene"", ""score"": 0.8503}","{""tag"": ""scene"", ""score"": 0.8361}","{""tag"": ""Pieta"", ""score"": 0.835}","{""tag"": ""altaar"", ""score"": 0.8334}","{""tag"": ""Jezus"", ""score"": 0.8333}","{""tag"": ""Christus"", ""score"": 0.833}","{""tag"": ""fresco"", ""score"": 0.8329}","{""tag"": ""Geseling van Christus"", ""score"": 0.8329}","{""tag"": ""religieuze man"", ""score"": 0.8327}","{""tag"": ""Meditationes in Vitam Christi"", ""score"": 0.8324}"
"6831","Vrouwenportret","Ferdinand Roybet","{""tag"": ""femme"", ""score"": 0.8419}","{""tag"": ""portrait"", ""score"": 0.838}","{""tag"": ""Mona Lisa"", ""score"": 0.8321}","{""tag"": ""Portret"", ""score"": 0.8281}","{""tag"": ""portret"", ""score"": 0.8267}","{""tag"": ""vrouw"", ""score"": 0.8253}","{""tag"": ""Madame Recamier"", ""score"": 0.8238}","{""tag"": ""portret van een onbekende"", ""score"": 0.8222}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.8219}","{""tag"": ""Camille Pissarro"", ""score"": 0.8205}"
"12501","Bij het raam","Jean Rustin","{""tag"": ""abstract"", ""score"": 0.8164}","{""tag"": ""enfant"", ""score"": 0.808}","{""tag"": ""muurschildering"", ""score"": 0.8039}","{""tag"": ""angst"", ""score"": 0.8031}","{""tag"": ""hand"", ""score"": 0.8021}","{""tag"": ""schilderij"", ""score"": 0.8019}","{""tag"": ""schilderkunst"", ""score"": 0.8019}","{""tag"": ""arts"", ""score"": 0.7991}","{""tag"": ""fresco"", ""score"": 0.7989}","{""tag"": ""Mona Lisa"", ""score"": 0.7986}"
"10641 / 21-40","Tekeningen","Armand Simon","{""tag"": ""abstract"", ""score"": 0.8556}","{""tag"": ""facade"", ""score"": 0.8261}","{""tag"": ""Musee Carnavalet"", ""score"": 0.825}","{""tag"": ""architecture"", ""score"": 0.8242}","{""tag"": ""arts"", ""score"": 0.8232}","{""tag"": ""Art universel"", ""score"": 0.8226}","{""tag"": ""Mona Lisa"", ""score"": 0.8224}","{""tag"": ""Societe Libre des Beaux-Arts"", ""score"": 0.8217}","{""tag"": ""architectuuur"", ""score"": 0.8213}","{""tag"": ""Art libre"", ""score"": 0.821}"
"10684 / 1-20","Schetsboek","Paul Delvaux","{""tag"": ""abstract"", ""score"": 0.8455}","{""tag"": ""portrait"", ""score"": 0.8249}","{""tag"": ""Mona Lisa"", ""score"": 0.8228}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8219}","{""tag"": ""arts"", ""score"": 0.8199}","{""tag"": ""Art libre"", ""score"": 0.8195}","{""tag"": ""kubisme"", ""score"": 0.8188}","{""tag"": ""Portret"", ""score"": 0.8186}","{""tag"": ""Art universel"", ""score"": 0.8182}","{""tag"": ""atelier"", ""score"": 0.8175}"
"1353","Zelfportret","Carel de Moor II","{""tag"": ""portrait"", ""score"": 0.8332}","{""tag"": ""Portret"", ""score"": 0.8259}","{""tag"": ""portret"", ""score"": 0.8244}","{""tag"": ""portret van een onbekende"", ""score"": 0.8237}","{""tag"": ""Jacques-Louis David"", ""score"": 0.8208}","{""tag"": ""Mona Lisa"", ""score"": 0.8208}","{""tag"": ""abstract"", ""score"": 0.8203}","{""tag"": ""man"", ""score"": 0.8202}","{""tag"": ""/ portret van een onbekende"", ""score"": 0.8175}","{""tag"": ""landschap op achtergrond / portret van een onbekende"", ""score"": 0.816}"
