recordID,LinkToVubis
100,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:100&Language=eng
1000,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1000&Language=eng
10001,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10001&Language=eng
10002,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10002&Language=eng
10004,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10004&Language=eng
10005,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10005&Language=eng
10006,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10006&Language=eng
10007,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10007&Language=eng
10008,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10008&Language=eng
10009,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10009&Language=eng
1001,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1001&Language=eng
10010,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10010&Language=eng
10011,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10011&Language=eng
10012,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10012&Language=eng
10013,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10013&Language=eng
10014,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10014&Language=eng
10016,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10016&Language=eng
10017,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10017&Language=eng
10018,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10018&Language=eng
10019,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10019&Language=eng
1002,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1002&Language=eng
10020,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10020&Language=eng
10021,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10021&Language=eng
